_id,施打站全稱（自動）,施打站縣市（自動）,施打站行政區（自動）,施打站地址（自動）,施打站經度（自動）,施打站緯度（自動）,官方提供網址（自動）,預約電話（自動）,實際預約網址（手動）,爬蟲分類（手動）,醫事機構代碼（自動）,是否現在為施打點？（自動）,Last Modified,備註（手動）,預約方式（手動）,是否可以爬蟲（手動）,爬蟲結果（手動）,爬蟲人（手動）,爬蟲程式碼（手動）,開放預約時間（手動）
rec042pWIkM2XYbPz,彰化基督教醫療財團法人漢銘基督教醫院,彰化縣,彰化市,彰化縣彰化市中山路一段366號,120.535784,24.061299,https://hm.cch.org.tw/news_detial.aspx?cID=1&Key=116,04-7113456,https://hm.cch.org.tw/news_detial.aspx?cID=1&Key=116,彰基醫院系列,1137010051,1,2021-07-11T05:50:20.000Z
rec08cD0RKn76Wh13,臺東縣延平鄉衛生所,臺東縣,延平鄉,臺東縣延平鄉桃源村昇平路11號,121.085663,22.902109,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=2346120010,089-561040,https://wecanhelp.ttpush.app/reservation?fbclid=IwAR3c5wtfEVVUpbEv2MN7JRTaS-3r_BGOqDsR67Qk_Kn0Uw8bA4V02JjgdcQ,台東縣預約系統系列,2346120010,1,2021-07-11T11:05:50.000Z,"需要驗證身份 by SL",預約系統
rec0AWIzBqlCkyReN,卓醫院,彰化縣,北斗鎮,彰化縣北斗鎮西安里中山路一段311號,120.51554,23.872278,https://docs.google.com/forms/d/e/1FAIpQLSdpYfIuWqdcQ295WbggrKmRa9fZUlBUNQmZEvt6pwV9yqYmXg/viewform,04-8882995,,,1537040066,1,2021-07-11T05:50:20.000Z,"無法找到任何資料
",
rec0FuMJbi7riIuKY,衛生福利部雙和醫院(委託臺北醫學大學興建經營),新北市,中和區,新北市中和區中正路291號,121.494082,24.993746,"https://www.shh.org.tw/page/ShhregVaccine.aspx
",02-22490088,https://www.shh.org.tw/page/ShhregVaccine.aspx,北醫系列,1331040513,1,2021-07-11T11:05:50.000Z,,掛號系統
rec0GpEaNU2mmptpo,東港靜思堂(東港衛生所站),屏東縣,東港鎮,928台灣屏東縣東港鎮,120.4634753,22.471462,,"08 832 5310",,,,,2021-07-11T15:18:58.000Z,各縣市資料,
rec0HMofu1o1WZTxb,衛生福利部臺南醫院,臺南市,中西區,臺南市中西區中山路125號,120.209228,22.995819,https://tnweb.tnhosp.mohw.gov.tw/OINetReg/OINetReg.Reg/Reg_RegTable.aspx?HID=F&Way=Dept&DivDr=0172&Date=&Noon=,06-2200055,https://tnweb.tnhosp.mohw.gov.tw/OINetReg/OINetReg.Reg/Reg_RegTable.aspx?HID=F&Way=Dept&DivDr=0172&Date=&Noon=,衛福部系列,0121050011,1,2021-07-11T05:50:20.000Z,,
recBq0kTKnEk9nZj9,台南市立醫院(委託秀傳醫療社團法人經營),臺南市,東區,臺南市東區崇德路670號,120.226743,22.968534,https://www.tmh.org.tw/TMH2016/RegCal.aspx?Dept=MM&Kind=2,06-2609926,https://www.tmh.org.tw/TMH2016/RegCal.aspx?Dept=MM&Kind=2,秀傳系列,0905320023,1,2021-07-11T05:50:20.000Z,,,
recBuBwT81qY7KjL2,童綜合醫療社團法人童綜合醫院,臺中市,梧棲區,臺中市梧棲區臺灣大道八段699號,120.542506,24.247285,https://www.sltung.com.tw/news_d/486/501/1013/0/0/12371,04-26581919,https://www.sltung.com.tw/news_d/486/501/1013/0/0/12371,醫院各自系統,0936060016,1,2021-07-11T05:50:20.000Z,,,
recBvz4uNf8381g1e,彰化縣永靖鄉衛生所,彰化縣,永靖鄉,彰化縣永靖鄉永西村西興路91號,120.547668,23.925035,https://yugphc.chshb.gov.tw/newsin.php?c=npncp5bKnqNrlpSYocja,04-8221057,,彰化衛生所系列,2337180017,1,2021-07-11T05:50:20.000Z,"僅提供電話報名
",,
recBwqPxcVnbTlS1T,董耳鼻喉科診所,臺北市,信義區,臺北市信義區永吉路284號,121.57436382686,25.045378924698,,02-2764-3502,,,,,2021-07-11T15:19:57.000Z,各縣市資料,,
recCAIgYgG9xLEADa,新竹縣芎林鄉衛生所,新竹縣,芎林鄉,新竹縣芎林鄉文山路532號,121.077785,24.777401,https://qionglin.hcshb.gov.tw/,03-5924787,https://www.beclass.com/rid=25463c460d9b79c2fed5,"be class報名系統表",2333090012,1,2021-07-11T05:50:20.000Z,,,
recCAy3Irh6VJmHox,南州鄉衛生所,屏東縣,南州鄉,926台灣屏東縣南州鄉,120.503041,22.486193,,"08 864 2224",,,,,2021-07-11T15:19:06.000Z,各縣市資料,,
recCED8TdGuXDk9ck,屏東縣琉球鄉衛生所,屏東縣,琉球鄉,屏東縣琉球鄉本福村中山路51號,120.378547,22.348526,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=2343220013,08-8612513,,,2343220013,1,2021-07-11T05:50:20.000Z,"無線上預約 by SL",,
recCEWmcebLlI84Lp,快樂診所,臺南市,麻豆區,台南市麻豆區民權路22-5號,,,,06-5714606,,,,,2021-07-11T15:22:52.000Z,各縣市資料,,
recCHMQ2PcYS2P3Pc,公正國中(未開放),屏東縣,屏東市,900台灣屏東縣屏東市公興路11號,120.4841386,22.6407895,,"08 752 2097",,,,,2021-07-11T15:19:00.000Z,各縣市資料,,
recCJIUYQKAbMx2qN,彰化縣田尾鄉衛生所,彰化縣,田尾鄉,彰化縣田尾鄉饒平村光復路2段608號,120.532946,23.88999,https://tiwphc.chshb.gov.tw/newsin.php?c=npncp5bKnqNrlpmYocja,04-8832145,,彰化衛生所系列,2337210010,1,2021-07-11T05:50:20.000Z,"僅提供電話報名
",,
recCMTWJy9l9j64fn,李綜合醫療社團法人大甲李綜合醫院,臺中市,大甲區,臺中市大甲區八德街2號,120.618073,24.350784,http://www.leehospital.com.tw/%E7%B6%B2%E8%B7%AF%E6%8E%9B%E8%99%9F/Covid19.asp,04-26862288,http://www.leehospital.com.tw/%E7%B6%B2%E8%B7%AF%E6%8E%9B%E8%99%9F/covid19d.asp,李綜合醫院系列,0936030018,1,2021-07-11T05:50:20.000Z,,,
recCMYRotr4QSS4fY,新北市汐止區衛生所,新北市,汐止區,新北市汐止區新台五路1段266號地下1樓．地上1至4樓,121.658534,25.063513,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=2331110011,02-26412030,https://vacbooking.ntpc.gov.tw/ntc_vaccination/index.php,新北市衛生局系列,2331110011,1,2021-07-11T11:05:50.000Z,,預約系統,是
recCNvMgl5RiIPed3,臺北市立聯合醫院-中興院區,臺北市,大同區,台北市大同區鄭州路145號2F,121.508887,25.050692,https://webreg.tpech.gov.tw/RegOnline1_2.aspx?ZCode=G&DeptCode=0100&deptname=COVID-19%e7%96%ab%e8%8b%97%e7%89%b9%e5%88%a5%e9%96%80%e8%a8%ba,02-25523234,https://booking.health.gov.tw/Home/notyet,北市衛生局系列,0101090517f,1,2021-07-11T11:05:50.000Z,,不詳,是
recCSXMJoEmKRJH3n,臺東縣成功鎮衛生所,臺東縣,成功鎮,臺東縣成功鎮忠仁里中山東路64號,121.379469,23.099929,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=2346020015,089-851419,https://wecanhelp.ttpush.app/reservation?fbclid=IwAR3c5wtfEVVUpbEv2MN7JRTaS-3r_BGOqDsR67Qk_Kn0Uw8bA4V02JjgdcQ,台東縣預約系統系列,2346020015,1,2021-07-11T11:05:50.000Z,"需要驗證身份 by SL",預約系統,
recCY4Bhvs43JtxBL,怡安小兒科,臺南市,安南區,台南市安南區怡安路二段511號,,,,06-2456657,,,,,2021-07-11T15:22:40.000Z,各縣市資料,,
recCZbln0xmrmuxA5,鹽埔鄉衛生所,屏東縣,鹽埔鄉,907台灣屏東縣鹽埔鄉勝利路187號,120.578127,22.760069,,"08 793 2474",,,,,2021-07-11T15:19:03.000Z,各縣市資料,,
recCa4RBVhp2cxGaC,衛生福利部臺東醫院成功分院,臺東縣,成功鎮,臺東縣成功鎮中山東路32號,121.377829,23.099295,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=0146020537,089-324112,,,0146020537,1,2021-07-11T11:05:50.000Z,"網站整個當了！？ by SL",不詳,
recChsghEy7i4EEE4,怡仁綜合醫院,桃園市,楊梅區,桃園市楊梅區楊新北路321巷30號,121.155427,24.916951,http://www.yeezen.com.tw/default.aspx#,03-4855566,http://www.yeezen.com.tw/default.aspx#,醫院各自系統,1532040066,1,2021-07-11T05:50:20.000Z,,,
recCi1iPWLGjEi20W,屏東縣新埤鄉衛生所,屏東縣,新埤鄉,屏東縣新埤鄉新埤村中正路38號,120.550083,22.470451,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=2343150016,08-7971090,,,2343150016,1,2021-07-11T05:50:20.000Z,"無線上預約 by SL",,
recCn6xL9S4b9inBJ,和謙耳鼻喉科診所,臺北市,士林區,臺北市士林區社中街362號,121.50405145489,25.092420947402,,02-2816-5678,,,,,2021-07-11T15:19:15.000Z,各縣市資料,,
recCqAUssqm2RaZkr,石門診所,臺南市,安平區,台南市安平區安平路21號,,,,06-2242666,,,,,2021-07-11T15:22:28.000Z,各縣市資料,,
recCtOlKtETPLfcth,張金石小兒科診所,臺南市,北區,台南市北區公園路191號,,,,06-2216695,,,,,2021-07-11T15:22:19.000Z,各縣市資料,,
recCuA8HGABhqjd3p,羅景穗診所,臺南市,安南區,台南市安南區安中路四段95號,,,,06-2452123,,,,,2021-07-11T15:22:37.000Z,各縣市資料,,
recCvc0XPfe7yEaeS,花蓮縣鳳林鎮衛生所,花蓮縣,鳳林鎮,花蓮縣鳳林鎮公正街8之1號,121.451367,23.74537,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=2345020011,03-8761116,,,2345020011,1,2021-07-11T11:05:50.000Z,"看來花蓮有可能會用這個系統？？http://covid-19.hlc.edu.tw/。  by SL",不詳,
recCvhgxziJ8ncVcq,佛教慈濟醫療財團法人台北慈濟醫院,新北市,新店區,新北市新店區建國路289號,121.535808,24.98578,"http://taipei.tzuchi.com.tw/covid-19%e7%96%ab%e8%8b%97%e6%8e%a5%e7%a8%ae%e7%89%b9%e5%88%a5%e9%96%80%e8%a8%ba/
",02-66289779,https://reg-prod.tzuchi-healthcare.org.tw/tchw/HIS5OpdReg/OpdTimeShow?Pass=XD;0021,慈濟系列,1131050515,1,2021-07-11T11:05:50.000Z,"雖然styling看起來不一樣，但應該也是慈濟系列的？？？ by SL",掛號系統,是
recCw9mQoFGdHatkL,東元醫療社團法人東元綜合醫院,新竹縣,竹北市,新竹縣竹北市縣政二路69號,121.013955,24.823761,https://w3.tyh.com.tw/MainWebRegister.aspx,03-5527000,https://w3.tyh.com.tw/WebRegList_Dept.aspx?d=55,醫院各自系統,0933050018,1,2021-07-11T05:50:20.000Z,,,
recCwcIDIU7W1ENxJ,石荃小兒科,臺南市,東區,台南市東區裕農一街158號,,,,06-3363558,,,,,2021-07-11T15:22:42.000Z,各縣市資料,,
recDHtngRjmOX4SBI,屏東縣牡丹鄉衛生所,屏東縣,牡丹鄉,屏東縣牡丹鄉石門村19號,120.746872,22.101049,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=2343330014,08-8831013,,,2343330014,1,2021-07-11T05:50:13.000Z,"無線上預約 by SL",,
recDOAiTIJNFXzAe6,臺南市立安南醫院-委託中國醫藥大學興建經營,臺南市,安南區,臺南市安南區長和路二段66號,120.223192,23.064232,http://www.tmanh.org.tw/Service/OnlineAppointment,06-3553111,http://www.tmanh.org.tw/Service/OnlineAppointment,中國醫藥大學系列,1305370013,1,2021-07-11T05:50:20.000Z,,,
recDS1Gv76OgaXqNx,農安診所,臺北市,中山區,臺北市中山區農安街62號,121.528578501,25.064763750593,,02-2597-8590,,,,,2021-07-11T15:19:27.000Z,各縣市資料,,
recDic0wyyXykfpnf,臺北市立聯合醫院松山門診部,臺北市,松山區,臺北市松山區八德路4段694號1、2樓,121.577305,25.049669,https://webreg.tpech.gov.tw/RegOnline1_2.aspx?ZCode=A&DeptCode=0100&deptname=COVID-19%e7%96%ab%e8%8b%97%e7%89%b9%e5%88%a5%e9%96%80%e8%a8%ba,02-27653147,https://tpech.gov.taipei/cp.aspx?n=BE9341119042AFED,北市聯醫系統,2101010013,1,2021-07-11T11:05:50.000Z,,掛號系統,
recDpATQ7QIlnMaWK,臺北醫學大學附設醫院,臺北市,信義區,臺北市信義區吳興街252號、250號,121.563638,25.026637,https://www.tmuh.org.tw/special/covid19#,02-27372181,https://www.tmuh.org.tw/service/regist/015,北醫系列,1301170017,1,2021-07-11T11:05:50.000Z,,掛號系統,
recDpKcTwwB1LP2TI,屏東縣高樹鄉衛生所,屏東縣,高樹鄉,屏東縣高樹鄉長榮村南昌路12–2號,120.596287,22.819426,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=2343110012,08-7962026,,,2343110012,1,2021-07-11T05:50:20.000Z,"無線上預約 by SL",,
recDrTdAhdDjzzJrd,臺灣基督教門諾會醫療財團法人門諾醫院,花蓮縣,花蓮市,花蓮縣花蓮市民權路44號,121.626626,23.988257,https://reg.mch.org.tw/Register/ShowPhySchedule?Area=M&SubjectClassId=&SubjectId=9007&phyId=,03-8241234,https://reg.mch.org.tw/Register/ShowPhySchedule?Area=M&SubjectClassId=&SubjectId=9007&phyId=,醫院各自系統,1145010038,1,2021-07-11T11:05:50.000Z,,掛號系統,
recDzukMGM5bEge45,信義邱婦產科,臺北市,信義區,台北市信義區虎林街198號1樓,121.57688283631,25.038440733656,,02-2727-8275,,,,,2021-07-11T15:19:55.000Z,各縣市資料,,
recEABWol0xMcWMsw,永吉羅耳鼻喉科診所,臺北市,信義區,台北市信義區永吉路272號1樓,121.57396836697,25.045382457291,,02-2768-3191,,,,,2021-07-11T15:19:57.000Z,各縣市資料,,
recEBbom0TnhUeCsO,博全婦產科診所,臺北市,大安區,臺北市大安區大安路一段18號,121.54610290361,25.044161937557,,02-2777-4427,,,,,2021-07-11T15:19:20.000Z,各縣市資料,,
recEBcZCQDWdeYdKh,周恭維診所,臺南市,安平區,台南市安平區華平路595號,,,,06-2938599,,,,,2021-07-11T15:22:35.000Z,各縣市資料,,
recEET2QnZab2IhUn,恆春工商(未開放),屏東縣,恆春鎮,946台灣屏東縣恆春鎮恆南路38號恆春市,120.746917,21.992609,,"08 889 2010",,,,,2021-07-11T15:19:00.000Z,各縣市資料,,
recEI7ZN63DfVNZPQ,大同高中(未開放),屏東縣,中山區,10485台灣台北市中山區長春路167號,120.477654,22.678426,,"02 2505 4269",,,,,2021-07-11T15:18:58.000Z,各縣市資料,,
recEIDk6nK3pvapLd,佛教慈濟醫療財團法人玉里慈濟醫院,花蓮縣,玉里鎮,花蓮縣玉里鎮民權街1－1號,121.318526,23.334662,https://app.tzuchi.com.tw/tchw/opdreg/OpdTimeShow.aspx?depart=COVID19%e7%96%ab%e8%8b%97%e9%a0%90%e7%b4%84&HospLoc=5,03-8882718,https://app.tzuchi.com.tw/tchw/opdreg/OpdTimeShow.aspx?depart=COVID19%e7%96%ab%e8%8b%97%e9%a0%90%e7%b4%84&HospLoc=5,慈濟系列,1145030012,1,2021-07-11T11:05:50.000Z,,掛號系統,
recEIejQWxL29fKvC,臺北市立聯合醫院信義門診部,臺北市,信義區,臺北市信義區信義路5段15號,121.566897,25.033147,https://webreg.tpech.gov.tw/RegOnline1_2.aspx?ZCode=E&DeptCode=0100&deptname=COVID-19%e7%96%ab%e8%8b%97%e7%89%b9%e5%88%a5%e9%96%80%e8%a8%ba,02-87804152,https://tpech.gov.taipei/cp.aspx?n=BE9341119042AFED,北市聯醫系統,2101170050,1,2021-07-11T11:05:50.000Z,,掛號系統,
recEJNSTzNym7OHO2,杏和醫院,高雄市,鳳山區,高雄市鳳山區五甲二路385號、387號、389號、391號,120.335668,22.597677,http://shinghou.com.tw/news_detail.php?id=34,07-7613111,,,1542011282,1,2021-07-11T11:05:50.000Z,"電話預約 by SL",電話預約,
recEW1TMwv4ESQclf,陳沛仁家庭醫學科診所,臺南市,歸仁區,台南市歸仁區民族北街17巷2號、6號,,,,06-3308683,,,,,2021-07-11T15:23:02.000Z,各縣市資料,,
recEaNoyQSm3PGs0Q,張虔熙小兒科診所,臺北市,士林區,臺北市士林區中山北路六段282號,121.52561512919,25.1100854637,,02-2836-1368,,,,,2021-07-11T15:19:10.000Z,各縣市資料,,
recEbTORCREAniR5P,成德區民活動中心,臺北市,南港區,台北市南港區同德路100號3樓,121.58675518137,25.046147203365,,,,,,,2021-07-11T15:20:09.000Z,各縣市資料,,
recEcCvkyTmYeYWNr,新竹縣湖口鄉衛生所,新竹縣,湖口鄉,新竹縣湖口鄉中勢村中興街36號,121.048828,24.902334,https://hukou.hcshb.gov.tw/,03-5992654,https://www.beclass.com/rid=25463c560dac97ebf6c6,"be class報名系統表",2333060014,1,2021-07-11T05:50:20.000Z,,,
recEmXDPaBc7PInQh,湖欣診所,臺北市,內湖區,臺北市內湖區成功路四段327號,121.59892523046,25.084536583697,,02-2791-8350,,,,,2021-07-11T15:19:37.000Z,各縣市資料,,
recEmaQLBRUkV8R8v,聯和耳鼻喉科診所,臺南市,善化區,台南市善化區大成路312之1號,,,,06-5851696,,,,,2021-07-11T15:22:52.000Z,各縣市資料,,
recEnsRNgdOYNCxqW,吳國堯小兒科診所,臺南市,安平區,台南市安平區文平路438號,,,,06-2933358,,,,,2021-07-11T15:22:28.000Z,各縣市資料,,
recEp5A7QBrCN5F3a,林正豐診所,臺北市,文山區,臺北市文山區保儀路25號,121.56870949747,24.988126680072,,02-2936-3665,,,,,2021-07-11T15:19:42.000Z,各縣市資料,,
recErPU3JiNhGs5HC,臺南市六甲區衛生所,臺南市,六甲區,臺南市六甲區二甲里26鄰中華路110號,120.346879,23.224673,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=2341130016,06-6982013,,,2341130016,1,2021-07-11T05:50:20.000Z,"沒有線上的預約方式 by SL",,
recErhiCouc3XYVqv,高固廉診所,臺北市,中山區,臺北市中山區北安路613號,121.54880217502,25.082581470524,,02-2532-3036,,,,,2021-07-11T15:19:25.000Z,各縣市資料,,
recExauP3lzEzPMuF,嘉義縣番路鄉衛生所,嘉義縣,番路鄉,嘉義縣番路鄉下坑村菜公店60號,120.553771,23.463189,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=2340160010,05-2591148,,,2340160010,1,2021-07-11T05:50:20.000Z,"依嘉義衛生局規範，僅接受縣民預約，並只有現場預約
",,
recF46S4V6MPszph4," 安聯診所",臺南市,白河區,台南市白河區富民路62號,,,,06-6852885,,,,,2021-07-11T15:22:28.000Z,各縣市資料,,
recFDhnDTEwwWz4FW,新北市立聯合醫院,新北市,三重區,新北市三重區新北大道1段3號、3之1號、板橋區英士路198號,121.49084,25.060869,"https://www.ntch.ntpc.gov.tw/
",02-29829111,https://reg.ntch.ntpc.gov.tw:4443/VaccineWeb,醫院各自系統,0131020016,1,2021-07-11T11:05:50.000Z,,掛號系統,是
recFDtptDbtnIEmv8,大東醫院,高雄市,鳳山區,高雄市鳳山區三民里光遠路171－2號,120.362012,22.625359,http://www.da-dong.com.tw/content-62.html,07-7463762,,,1542010052,1,2021-07-11T05:50:20.000Z,看來目前沒有再打疫苗了,,
recFGAFnrisnohoyJ,宏恩兒科診所,臺北市,北投區,臺北市北投區致遠一路二段99號,121.51295772652,25.112884019585,,02-2827-1110,,,,,2021-07-11T15:19:44.000Z,各縣市資料,,
recFLLspxQYsThlnY,佛教慈濟醫療財團法人關山慈濟醫院,臺東縣,關山鎮,臺東縣關山鎮和平路125－5號,121.166679,23.05722,https://app.tzuchi.com.tw/tchw/OpdReg/OpdTimeShow.aspx?depart=%e5%85%a7%e7%a7%91&HospLoc=6,089-814880,https://app.tzuchi.com.tw/tchw/OpdReg/OpdTimeShow.aspx?depart=COVID19%e7%96%ab%e8%8b%97%e9%a0%90%e7%b4%84&HospLoc=6,慈濟系列,1146030516,1,2021-07-11T11:05:50.000Z,"需要驗證身份 by SL",掛號系統,
recFLNhRGIQIugyjD,國軍高雄總醫院附設屏東民眾診療服務處,屏東縣,屏東市,屏東縣屏東市大湖路58巷22號,120.487574,22.633503,https://802.mnd.gov.tw/,08-7560756,,,0543010019,1,2021-07-11T05:50:20.000Z,"找不到可以預約相關資訊 by SL",,
recFNgxi9xAbGhfnR,仁弘耳鼻喉科診所,臺北市,內湖區,臺北市內湖區內湖路一段737巷50弄37號1樓,121.57840094406,25.080692858947,,02-2659-6360,,,,,2021-07-11T15:19:37.000Z,各縣市資料,,
recFWubAb2G0mmlnS,樹爸爸親子診所,臺北市,士林區,臺北市士林區德行東路286號,121.53597992085,25.109962217092,,02-2838-1838,,,,,2021-07-11T15:19:15.000Z,各縣市資料,,
recFXGXwnPObP6WHz,紀耳鼻喉科診所,臺北市,北投區,臺北市北投區石牌路二段57號,121.51605595263,25.116631104602,,02-2821-4485,,,,,2021-07-11T15:19:46.000Z,各縣市資料,,
recFXGcvX9Boog5yt,海佃診所,臺南市,安南區,台南市安南區海佃路二段620號,,,,06-2560202,,,,,2021-07-11T15:22:37.000Z,各縣市資料,,
recFYMxXErqKepZ0h,侯世婷小兒科診所,臺南市,東區,台南市東區崇善路511號,,,,06-3369131,,,,,2021-07-11T15:22:44.000Z,各縣市資料,,
recFYg8p3SKNoiE23,永康診所,臺北市,萬華區,臺北市萬華區桂林路47號,121.5042743182,25.038051508031,,02-2312-3455,,,,,2021-07-11T15:20:02.000Z,各縣市資料,,
recFZSQOywJb58noa,彰化縣埤頭鄉衛生所,彰化縣,埤頭鄉,彰化縣埤頭鄉合興村健安街119號,120.457269,23.894898,https://btophc.chshb.gov.tw/newsin.php?c=npncp5bKnqNrlpaYocja,04-8922445,,彰化衛生所系列,2337220016,1,2021-07-11T05:50:20.000Z,"僅提供電話報名
",,
recFe9vZebS9Uqv1e,三華診所,臺南市,仁德區,台南市仁德區太子路142號,,,,06-2731826,,,,,2021-07-11T15:22:16.000Z,各縣市資料,,
recFraH7GPPim4zRS,陳柏宏親子診所,臺北市,北投區,臺北市北投區明德路124號,121.52041326799,25.110068800461,,02-2822-5257,,,,,2021-07-11T15:19:46.000Z,各縣市資料,,
recFxTYbOdGtKOPrb,重光醫院,苗栗縣,頭份市,苗栗縣頭份市中華路1037、1039、1041、1043號,120.908106,24.686478,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=1535051178,037-663030,http://www.chorng-guang.url.tw/homepage/83-7-1%E8%B5%B7%E9%A0%90%E7%B4%84covid19%E7%96%AB%E8%8B%97%E6%B3%A8%E6%84%8F%E4%BA%8B%E9%A0%85.html,,1535051178,1,2021-07-11T05:50:20.000Z,"僅提供電話報名
",,
recFxmkA14BFrhEGE,衛生福利部旗山醫院,高雄市,旗山區,高雄市旗山區大德里中學路60號,120.483277,22.880693,"https://newnetreg.chis.mohw.gov.tw/OiNetReg/OINetReg.Reg/Reg_RegTable.aspx?Date=&DivDr=0102&HID=F&Noon=&Way=Dept
",07-6613811,https://newnetreg.chis.mohw.gov.tw/OiNetReg/OINetReg.Reg/Reg_RegTable.aspx?Date=&DivDr=0102&HID=F&Noon=&Way=Dept,衛福部系列,0142030019,1,2021-07-11T05:50:20.000Z,,,
recG4alDJT9aXJMdN,晨祐診所,臺南市,下營區,台南市下營區中正南路55號,,,,06-6892525,,,,,2021-07-11T15:22:12.000Z,各縣市資料,,
recG6gDNmsVxsVBjN,何叔芳小兒科診所,臺北市,北投區,臺北市北投區石牌路二段90巷12號,121.51687204047,25.117041626929,,02-2820-6886,,,,,2021-07-11T15:19:44.000Z,各縣市資料,,
recGILJ0xMmMRY871,陳耀軫診所,臺南市,新營區,台南市新營區中正路57號,,,,06-6356988,,,,,2021-07-11T15:22:58.000Z,各縣市資料,,
recGLN9GAVvf4hZGF,安和醫院,屏東縣,屏東市,90064台灣屏東縣屏東市自由路598號,120.4836256,22.6834125,,"08 765 1828",,,,,2021-07-11T15:19:08.000Z,各縣市資料,,
recGLaCZ2AhUxlsQb,澄東耳鼻喉科診所,臺北市,松山區,臺北市松山區三民路37號,121.56352380396,25.055800687898,,02-2742-0552,,,,,2021-07-11T15:19:52.000Z,各縣市資料,,
recGLciXbqcggc9li,蕭昱淩小兒科診所,臺南市,南區,台南市南區新興路507之1號,,,,06-2612111,,,,,2021-07-11T15:22:49.000Z,各縣市資料,,
recGMlaALVJeMe2Nc,天行健診所,臺北市,萬華區,臺北市萬華區寶興街127號1樓,121.49485990561,25.025103637408,,02-2332-0688,,,,,2021-07-11T15:20:02.000Z,各縣市資料,,
recGOfMwT1ekr2k4D,南投縣信義鄉衛生所,南投縣,信義鄉,南投縣信義鄉明德村玉山路45號,120.85472,23.696529,https://docs.google.com/forms/d/e/1FAIpQLSfLYeJgWryjotYvGGx8mS7Fr6aEp-fVW5f6hZHqL1KhqpC0dg/viewform,049-2791148,,,2338120015,1,2021-07-11T05:50:20.000Z,"不再使用連結報名，
僅提供電話報名
",,
recGRG5oiA1vsXHV3,德南家醫科診所,臺南市,仁德區,台南市仁德區中正路二段464號,,,,06-2798071,,,,,2021-07-11T15:22:16.000Z,各縣市資料,,
recGVqulkiapFi0Do,天主教若瑟醫療財團法人若瑟醫院,雲林縣,虎尾鎮,雲林縣虎尾鎮新生路74號,120.437886,23.708214,http://www.stjoho.org.tw/www2012/news.aspx?newsno=20067,05-6337333,https://www.stjoho.org.tw/www2012/guide4_2c.aspx?l=afab3,醫院各自系統,1139030015,1,2021-07-11T05:50:20.000Z,,,
recGXAYhCUdTswTbf,林黑潮診所,臺南市,南區,台南市南區金華路一段377號,,,,06-2656789,,,,,2021-07-11T15:22:49.000Z,各縣市資料,,
recGbtuclWbOjsbpe,屏東縣霧臺鄉衛生所,屏東縣,霧臺鄉,屏東縣霧台鄉霧台村神山巷68號,120.726129,22.749889,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=2343270013,08-7902232,,,2343270013,1,2021-07-11T05:50:20.000Z,"無線上預約 by SL",,
recGo0gW4kH00bKvr,北投國小,臺北市,北投區,台北市北投區中央北路一段73號,121.50029357669,25.13418689318,,,,,,,2021-07-11T15:21:59.000Z,各縣市資料,,
recGutkmVTvjD2jSj,衛生福利部臺北醫院,新北市,新莊區,新北市新莊區思源路127號、新北巿新莊區長春街6號2樓、3樓,121.459622,25.04324,"http://nreg.tph.mohw.gov.tw/OReg/RegisterPage?viewparam=sect
",02-22765566,https://docs.google.com/forms/d/e/1FAIpQLSeZylDHZtzlyZNWdRMMZcOWo4LrOxrmjhgp9BK9-ax5q1sE2w/closedform,google表單系列,0131060029,1,2021-07-11T11:05:50.000Z,"雖然網站是衛福部網站但預約是google表單 ",google表單,
recGvUNJn9LTr8idY,新北市蘆洲區衛生所,新北市,蘆洲區,新北市蘆洲區中央路58號,121.473284,25.083963,https://www.nhi.gov.tw/QueryN/Query3_Detail.aspx?HospID=2331140019,02-22812011,https://vacbooking.ntpc.gov.tw/ntc_vaccination/index.php,新北市衛生局系列,2331140019,1,2021-07-11T11:05:50.000Z,,預約系統,是
recGy3KuJ0x5sfAYe,臺中榮民總醫院嘉義分院,嘉義市,西區,嘉義市西區劉厝里世賢路2段600號,120.42297,23.467549,http://61.60.38.27/COVID19/FormMain.aspx,05-2359630,http://61.60.38.27/COVID19/FormMain.aspx,台中榮總系列,0622020017,1,2021-07-11T05:50:20.000Z,,,
